HIPPO, 307
22.5,28.5,-10.5
19.5,28.5,-10.5
-22.5,28.5,-10.5
-25.5,28.5,-10.5
-28.5,28.5,-10.5
28.5,37.5,-7.5
25.5,37.5,-7.5
34.5,34.5,-7.5
31.5,34.5,-7.5
28.5,34.5,-7.5
25.5,34.5,-7.5
22.5,34.5,-7.5
19.5,34.5,-7.5
-25.5,34.5,-7.5
-28.5,34.5,-7.5
28.5,31.5,-7.5
25.5,31.5,-7.5
22.5,31.5,-7.5
19.5,31.5,-7.5
-19.5,31.5,-7.5
-22.5,31.5,-7.5
-25.5,31.5,-7.5
-28.5,31.5,-7.5
28.5,40.5,-4.5
25.5,40.5,-4.5
22.5,40.5,-4.5
28.5,37.5,-4.5
25.5,37.5,-4.5
22.5,37.5,-4.5
19.5,37.5,-4.5
16.5,37.5,-4.5
-25.5,37.5,-4.5
-28.5,37.5,-4.5
16.5,34.5,-4.5
-25.5,34.5,-4.5
28.5,40.5,-1.5
25.5,40.5,-1.5
22.5,40.5,-1.5
19.5,40.5,-1.5
16.5,40.5,-1.5
13.5,40.5,-1.5
25.5,37.5,-1.5
22.5,37.5,-1.5
19.5,37.5,-1.5
16.5,37.5,-1.5
13.5,37.5,-1.5
-13.5,37.5,-1.5
-16.5,37.5,-1.5
-19.5,37.5,-1.5
-22.5,37.5,-1.5
-25.5,37.5,-1.5
22.5,40.5,1.5
19.5,40.5,1.5
16.5,40.5,1.5
13.5,40.5,1.5
-22.5,40.5,1.5
22.5,37.5,1.5
19.5,37.5,1.5
16.5,37.5,1.5
13.5,37.5,1.5
-13.5,37.5,1.5
-16.5,37.5,1.5
-19.5,37.5,1.5
-22.5,37.5,1.5
16.5,40.5,4.5
13.5,40.5,4.5
-16.5,40.5,4.5
16.5,37.5,4.5
13.5,37.5,4.5
-13.5,37.5,4.5
-16.5,37.5,4.5
PPA, 238
40.5,31.5,-28.5
37.5,31.5,-28.5
40.5,28.5,-28.5
37.5,28.5,-28.5
34.5,28.5,-28.5
31.5,28.5,-28.5
37.5,25.5,-28.5
34.5,25.5,-28.5
37.5,31.5,-25.5
37.5,28.5,-25.5
34.5,28.5,-25.5
31.5,28.5,-25.5
-28.5,28.5,-25.5
37.5,25.5,-25.5
34.5,25.5,-25.5
31.5,25.5,-25.5
-28.5,25.5,-25.5
-31.5,25.5,-25.5
31.5,34.5,-22.5
28.5,34.5,-22.5
25.5,34.5,-22.5
34.5,31.5,-22.5
31.5,31.5,-22.5
28.5,31.5,-22.5
25.5,31.5,-22.5
-28.5,31.5,-22.5
-31.5,31.5,-22.5
34.5,28.5,-22.5
31.5,28.5,-22.5
28.5,28.5,-22.5
25.5,28.5,-22.5
-25.5,28.5,-22.5
-28.5,28.5,-22.5
-31.5,28.5,-22.5
-34.5,28.5,-22.5
37.5,25.5,-22.5
34.5,25.5,-22.5
31.5,25.5,-22.5
28.5,25.5,-22.5
-25.5,25.5,-22.5
-28.5,25.5,-22.5
-31.5,25.5,-22.5
-34.5,25.5,-22.5
25.5,40.5,-19.5
31.5,37.5,-19.5
28.5,37.5,-19.5
25.5,37.5,-19.5
34.5,34.5,-19.5
31.5,34.5,-19.5
28.5,34.5,-19.5
25.5,34.5,-19.5
-28.5,34.5,-19.5
-31.5,34.5,-19.5
-34.5,34.5,-19.5
34.5,31.5,-19.5
31.5,31.5,-19.5
28.5,31.5,-19.5
25.5,31.5,-19.5
-25.5,31.5,-19.5
-28.5,31.5,-19.5
-31.5,31.5,-19.5
-34.5,31.5,-19.5
34.5,28.5,-19.5
31.5,28.5,-19.5
28.5,28.5,-19.5
-25.5,28.5,-19.5
-28.5,28.5,-19.5
-31.5,28.5,-19.5
-34.5,28.5,-19.5
34.5,25.5,-19.5
31.5,25.5,-19.5
-28.5,25.5,-19.5
-31.5,25.5,-19.5
-34.5,25.5,-19.5
34.5,40.5,-16.5
31.5,40.5,-16.5
28.5,40.5,-16.5
25.5,40.5,-16.5
22.5,40.5,-16.5
-31.5,40.5,-16.5
-34.5,40.5,-16.5
34.5,37.5,-16.5
31.5,37.5,-16.5
28.5,37.5,-16.5
25.5,37.5,-16.5
22.5,37.5,-16.5
-19.5,37.5,-16.5
-22.5,37.5,-16.5
-31.5,37.5,-16.5
-34.5,37.5,-16.5
34.5,34.5,-16.5
31.5,34.5,-16.5
28.5,34.5,-16.5
25.5,34.5,-16.5
-22.5,34.5,-16.5
-25.5,34.5,-16.5
-28.5,34.5,-16.5
-31.5,34.5,-16.5
-34.5,34.5,-16.5
34.5,31.5,-16.5
31.5,31.5,-16.5
28.5,31.5,-16.5
25.5,31.5,-16.5
-25.5,31.5,-16.5
-28.5,31.5,-16.5
-31.5,31.5,-16.5
-34.5,31.5,-16.5
34.5,28.5,-16.5
-34.5,28.5,-16.5
28.5,46.5,-13.5
25.5,46.5,-13.5
22.5,46.5,-13.5
31.5,43.5,-13.5
28.5,43.5,-13.5
25.5,43.5,-13.5
-19.5,43.5,-13.5
34.5,40.5,-13.5
31.5,40.5,-13.5
28.5,40.5,-13.5
25.5,40.5,-13.5
22.5,40.5,-13.5
19.5,40.5,-13.5
-16.5,40.5,-13.5
-19.5,40.5,-13.5
-22.5,40.5,-13.5
-31.5,40.5,-13.5
-34.5,40.5,-13.5
34.5,37.5,-13.5
31.5,37.5,-13.5
28.5,37.5,-13.5
25.5,37.5,-13.5
22.5,37.5,-13.5
-19.5,37.5,-13.5
-22.5,37.5,-13.5
-25.5,37.5,-13.5
-28.5,37.5,-13.5
-31.5,37.5,-13.5
-34.5,37.5,-13.5
34.5,34.5,-13.5
31.5,34.5,-13.5
28.5,34.5,-13.5
25.5,34.5,-13.5
-22.5,34.5,-13.5
-25.5,34.5,-13.5
-28.5,34.5,-13.5
-31.5,34.5,-13.5
-34.5,34.5,-13.5
34.5,31.5,-13.5
31.5,31.5,-13.5
-31.5,31.5,-13.5
-34.5,31.5,-13.5
31.5,52.5,-10.5
31.5,49.5,-10.5
28.5,49.5,-10.5
25.5,49.5,-10.5
-31.5,49.5,-10.5
34.5,46.5,-10.5
31.5,46.5,-10.5
28.5,46.5,-10.5
25.5,46.5,-10.5
22.5,46.5,-10.5
19.5,46.5,-10.5
-28.5,46.5,-10.5
-31.5,46.5,-10.5
-34.5,46.5,-10.5
34.5,43.5,-10.5
31.5,43.5,-10.5
28.5,43.5,-10.5
25.5,43.5,-10.5
22.5,43.5,-10.5
19.5,43.5,-10.5
-16.5,43.5,-10.5
-19.5,43.5,-10.5
-22.5,43.5,-10.5
-28.5,43.5,-10.5
-31.5,43.5,-10.5
-34.5,43.5,-10.5
34.5,40.5,-10.5
31.5,40.5,-10.5
28.5,40.5,-10.5
25.5,40.5,-10.5
22.5,40.5,-10.5
19.5,40.5,-10.5
-16.5,40.5,-10.5
-19.5,40.5,-10.5
-22.5,40.5,-10.5
-25.5,40.5,-10.5
-28.5,40.5,-10.5
-31.5,40.5,-10.5
-34.5,40.5,-10.5
34.5,37.5,-10.5
31.5,37.5,-10.5
22.5,37.5,-10.5
-19.5,37.5,-10.5
-22.5,37.5,-10.5
-25.5,37.5,-10.5
-28.5,37.5,-10.5
-31.5,37.5,-10.5
-34.5,37.5,-10.5
37.5,34.5,-10.5
-31.5,34.5,-10.5
-34.5,34.5,-10.5
-34.5,31.5,-10.5
34.5,49.5,-7.5
31.5,49.5,-7.5
-31.5,49.5,-7.5
34.5,46.5,-7.5
31.5,46.5,-7.5
28.5,46.5,-7.5
22.5,46.5,-7.5
19.5,46.5,-7.5
-31.5,46.5,-7.5
