vox1,vox2,weight
257,249,0.48465569622813126
257,250,0.3343172562013455
257,256,0.3463899501521066
258,233,0.43930732489060254
258,250,0.40276325982039457
258,257,0.4576444693681551
260,259,0.4345137898960281
261,260,0.3641971391057497
262,241,0.4012218530535123
262,259,0.3628496868715943
263,242,0.3948424347336705
263,260,0.3660537951827246
263,262,0.43248944257830796
264,261,0.3864879602405082
264,263,0.46862010515323904
265,264,0.358631040249695
268,267,0.36835760804891465
269,266,0.3359418584587282
270,267,0.3376195864964237
271,259,0.3965535278551367
272,260,0.38372480601637693
272,271,0.4318503236279925
273,261,0.384873620563561
273,272,0.3797340656445922
274,273,0.37794783858052733
276,275,0.35918811993979416
277,263,0.4685203097051042
277,271,0.33080131416848374
277,272,0.42422909000381553
278,264,0.3736218558730026
278,273,0.36703124644907703
278,277,0.4760859142938621
279,265,0.42110936160860035
279,278,0.4914628651796653
280,266,0.35758789815255004
280,275,0.4155879649915773
280,279,0.4301422715047463
281,276,0.44989248726558256
281,280,0.41682292855493674
283,282,0.38688580401377326
286,267,0.3468681243467658
286,285,0.42468305461897327
287,273,0.34024832533638566
288,274,0.3485485018337568
288,287,0.40743951548213847
289,275,0.3426656272818385
289,288,0.3489043509542378
290,276,0.35287158230646026
290,289,0.412932219015749
292,251,0.3526380500744446
292,278,0.4326338586863392
292,287,0.4135360200925115
293,240,0.3384941864715845
293,251,0.3493048803121366
293,278,0.3649018274248718
293,279,0.513548250379644
293,288,0.3928497451938977
293,292,0.5799336047172151
294,240,0.3291310596259132
294,279,0.40131407689282667
294,280,0.4644977831363377
294,289,0.39515184201383785
294,293,0.46503904225685133
295,281,0.4784314513434753
295,290,0.438900980884837
295,294,0.46048335189793904
296,282,0.3809417188461559
297,283,0.42319970765136605
298,284,0.40563000672126326
299,285,0.4208085645138014
299,291,0.35895552788364715
299,298,0.3889868424045712
300,271,0.33403784335129805
300,288,0.3355446835640166
300,289,0.3711955664731086
301,290,0.37201677364195923
301,300,0.4458814354654959
303,294,0.37261453441160564
303,295,0.33675507254547027
303,300,0.478276661026569
303,301,0.3397097712235755
304,301,0.4516822403105678
304,303,0.4805896751276208
305,296,0.34077432190603857
306,297,0.362229881040457
306,305,0.3304187155263343
310,308,0.4206408907037737
316,315,0.5234817609386522
320,316,0.42606566725395795
321,317,0.35334862114172116
322,318,0.3704482327985997
323,319,0.40232790383159234
329,325,0.466415755156087
330,326,0.3806112097552445
331,327,0.4704649838400046
334,317,0.39933035294357766
334,328,0.3839933995318461
335,329,0.4522120051439685
335,334,0.409899892785692
336,330,0.46428255525288153
337,331,0.39768486368315054
337,336,0.3986131051504225
339,332,0.4202272037406953
339,338,0.44197800329044873
340,333,0.400419247522206
340,339,0.36454794351102277
342,320,0.4061041478555903
343,321,0.35039049445843196
343,334,0.3713939266549194
344,335,0.3761825378027159
344,343,0.34696890863622554
345,336,0.36287443257715574
345,344,0.3753412209671021
347,339,0.3338073921271194
348,340,0.4757141823414021
349,341,0.3798561851298306
349,348,0.330972837560168
352,331,0.3303674312468402
353,350,0.4733779954617929
355,325,0.42146187702635873
355,351,0.33444833557196735
355,354,0.39129036261161537
356,326,0.3353509980732308
356,352,0.46194283349864573
